Marca,Modelo,Precio,Provincia,Año,Kilometraje,Transmisión,Dirección,Motor,Tracción,Color,Combustible,Enlace
NISSAN,MURANO,17990.0,COTOPAXI,2014.0,77000.0,SECUENCIAL,HIDRAULICA,3995.0,AWD,PLOMO,DIESEL,
PEUGEOT,208,16100.0,COTOPAXI,2022.0,41000.0,MANUAL,ELECTRONICA,1200.0,4x2,BLANCO,GASOLINA,
PEUGEOT,208,17000.0,PICHINCHA,2022.0,67000.0,MANUAL,ASISTIDA,1200.0,4x2,PLOMO,GASOLINA,
PEUGEOT,3008N ACT,28900.0,PICHINCHA,2021.0,84000.0,AUTOMATICA,ASISTIDA,1600.0,4x2,BLANCO,GASOLINA,
MAZDA,NEW BT-50,33200.0,PICHINCHA,2019.0,133400.0,AUTOMATICA,ASISTIDA,1984.0,4x4,NARANJA,DIESEL,
SUZUKI,GRAN VITARA SZ NEXT,21000.0,PICHINCHA,2018.0,85000.0,MANUAL,ELECTRONICA,2400.0,4x4,PLOMO,GASOLINA,
TOYOTA,4RUNNER,25000.0,PICHINCHA,2008.0,283000.0,AUTOMATICA,ASISTIDA,4000.0,4x4,PLOMO,GASOLINA,
TOYOTA,HIGHLANDER,44800.0,AZUAY,2022.0,27300.0,AUTOMATICA,HIDRAULICA,3500.0,AWD,BLANCO,GASOLINA,
TOYOTA,LAND CRUISER 100,26800.0,GUAYAS,2002.0,300000.0,AUTOMATICA,HIDRAULICA,4700.0,4x4,PLOMO,GASOLINA,
CHERY,TIGGO 2 PRO,13900.0,GUAYAS,2023.0,42000.0,SPEEDTRONIC,ASISTIDA,2995.0,4x4,PLOMO,ELECTRICO,
FODAY,LION F22,19500.0,TUNGURAHUA,2022.0,46000.0,MANUAL,HIDRAULICA,2400.0,4x2,BLANCO,GASOLINA,
NISSAN,QASHQAI,12900.0,PICHINCHA,2014.0,156000.0,AUTOMATICA,HIDRAULICA,2000.0,4x2,PLOMO,GASOLINA,
MINI,ONE,16800.0,PICHINCHA,2014.0,90256.0,MANUAL,HIDRAULICA,1600.0,4x2,NEGRO,GASOLINA,
PEUGEOT,2008 GT,23990.0,ESMERALDAS,2023.0,45000.0,SECUENCIAL,ELECTRONICA,1490.0,AWD,VERDE,ELECTRICO,
PEUGEOT,2008 FIN L,23990.0,PICHINCHA,2022.0,27700.0,MULTITRONIC,ELECTRONICA,1200.0,4x2,ROJO,GASOLINA,
MAZDA,BT-50,26900.0,PICHINCHA,2019.0,100000.0,MANUAL,MECANICA,3200.0,4x4,BLANCO,DIESEL,
SUZUKI,GRAND VITARA SZ,13900.0,PICHINCHA,2017.0,95000.0,AUTOMATICA,HIDRAULICA,2400.0,4x2,PLOMO,GASOLINA,
TOYOTA,HIGHLANDER LIMITED HIBRIDO,22500.0,PICHINCHA,2010.0,108000.0,AUTOMATICA,HIDRAULICA,3500.0,4x4,PLOMO,HIBRIDO,
SUZUKI,GRAND VITARA SZ,13900.0,PICHINCHA,2017.0,95000.0,AUTOMATICA,HIDRAULICA,2400.0,4x2,PLOMO,GASOLINA,
SUZUKI,GRAND VITARA SZ,14900.0,PICHINCHA,2017.0,194664.0,MANUAL,ELECTRONICA,2000.0,4x4,NEGRO,GASOLINA,
SUZUKI,GRAN VITARA SZ NEXT,13990.0,GALAPAGOS,2017.0,130000.0,STEPTRONIC,ASISTIDA,3500.0,AWD,BLANCO,GASOLINA,
FODAY,LION F22,14500.0,TUNGURAHUA,2019.0,140000.0,MANUAL,HIDRAULICA,2400.0,4x2,BLANCO,GASOLINA,
JETOUR,X70,16900.0,TUNGURAHUA,2023.0,25000.0,MANUAL,HIDRAULICA,1500.0,4x2,PLOMO,GASOLINA,
NISSAN,FRONTIER NP300,16300.0,PICHINCHA,2012.0,89000.0,MANUAL,HIDRAULICA,2000.0,4x4,PLOMO,GASOLINA,
MAZDA,2,14900.0,AZUAY,2020.0,79000.0,MANUAL,ASISTIDA,1206.0,4x2,PLOMO,GASOLINA,
OPEL,CROSSL X INNOV,22800.0,TUNGURAHUA,2023.0,16000.0,AUTOMATICA,ELECTRONICA,1200.0,4x2,BLANCO,GASOLINA,
MAZDA,2,14900.0,TUNGURAHUA,2020.0,72000.0,MANUAL,ASISTIDA,1500.0,AWD,ROJO,GASOLINA,
MAZDA,2,13900.0,PICHINCHA,2017.0,136000.0,MANUAL,HIDRAULICA,1500.0,4x2,PLOMO,GASOLINA,
SUZUKI,GRAND VITARA SZ,13900.0,EL ORO,2011.0,317000.0,MANUAL,HIDRAULICA,2400.0,4x4,BLANCO,GASOLINA,
SUZUKI,GRAND VITARA SZ,12900.0,PICHINCHA,2012.0,166136.0,MANUAL,HIDRAULICA,2000.0,4x2,PLOMO,GASOLINA,
SUZUKI,GRAND VITARA SZ,12900.0,PICHINCHA,2012.0,191000.0,MANUAL,HIDRAULICA,2000.0,4x2,BLANCO,GASOLINA,
SUZUKI,GRAND VITARA SZ,12800.0,PICHINCHA,2013.0,161000.0,MANUAL,HIDRAULICA,2000.0,4x2,BLANCO,GASOLINA,
TOYOTA,YARIS,5600.0,ESMERALDAS,2003.0,273000.0,MANUAL,HIDRAULICA,1400.0,4x2,ROSADO,GASOLINA,
MITSUBISHI,MONTERO 5P,11700.0,PICHINCHA,2003.0,249000.0,AUTOMATICA,ELECTRONICA,3500.0,4x4,CREMA,GASOLINA,
MAZDA,CX-9 GRAND TOURING,14900.0,PICHINCHA,2008.0,104000.0,AUTOMATICA,ELECTRONICA,3800.0,4x4,NEGRO,GASOLINA,
NISSAN,KICKS DRIVE,16990.0,PICHINCHA,2019.0,106455.0,MANUAL,ASISTIDA,1600.0,4x2,NEGRO,GASOLINA,
MAZDA,6,10900.0,PICHINCHA,2010.0,221000.0,MANUAL,ELECTRONICA,1600.0,4x2,PLOMO,GASOLINA,
MAZDA,6,10500.0,PICHINCHA,2010.0,205000.0,MANUAL,HIDRAULICA,2000.0,4x2,PLOMO,GASOLINA,
MAZDA,3,10900.0,GUAYAS,2011.0,184734.0,MANUAL,HIDRAULICA,1600.0,4x2,NEGRO,GASOLINA,
MAZDA,2,11400.0,PICHINCHA,2012.0,141000.0,MANUAL,ELECTRONICA,1600.0,4x2,PLOMO,GASOLINA,
NISSAN,KICKS DRIVE,15990.0,PICHINCHA,2019.0,106455.0,MANUAL,ELECTRONICA,1600.0,4x2,NEGRO,GASOLINA,
NISSAN,KICKS DRIVE,16490.0,PICHINCHA,2019.0,90000.0,MANUAL,ASISTIDA,1498.0,4x2,PLOMO,GASOLINA,
NISSAN,KICKS DRIVE,16900.0,GUAYAS,2018.0,105000.0,AUTOMATICA,HIDRAULICA,1451.0,4x2,NARANJA,GASOLINA,
NISSAN,KICKS,16900.0,GUAYAS,2018.0,105000.0,AUTOMATICA,HIDRAULICA,1600.0,4x2,BLANCO,GASOLINA,
MAZDA,BT-50,15900.0,PICHINCHA,2015.0,368000.0,MANUAL,ASISTIDA,2200.0,4x2,VERDE,GASOLINA,
MAZDA,CX3 CORE,18990.0,PICHINCHA,2019.0,55000.0,MANUAL,ASISTIDA,2000.0,4x2,PLOMO,GASOLINA,
FORD,ESCAPE,12800.0,PICHINCHA,2012.0,219000.0,AUTOMATICA,HIDRAULICA,3000.0,4x4,PLOMO,GASOLINA,
MAZDA,CX7,10900.0,PICHINCHA,2010.0,182000.0,AUTOMATICA,MECANICA,2500.0,4x2,PLOMO,GASOLINA,
MAZDA,NEW 3,21000.0,IMBABURA,2019.0,98000.0,AUTOMATICA,ASISTIDA,3300.0,4x4,ROJO,GASOLINA,
NISSAN,ARMADA,16900.0,GUAYAS,2008.0,228000.0,AUTOMATICA,ASISTIDA,5400.0,4x4,NEGRO,GASOLINA,
NISSAN,KICKS,21600.0,GALAPAGOS,2021.0,30000.0,MANUAL,ASISTIDA,3598.0,4x4,ROSADO,GASOLINA,
NISSAN,KICKS,17900.0,PICHINCHA,2018.0,81972.0,AUTOMATICA,MECANICA,1600.0,4x2,ROJO,GASOLINA,
NISSAN,KICKS,17700.0,PICHINCHA,2018.0,105000.0,AUTOMATICA,HIDRAULICA,1600.0,4x2,BLANCO,GASOLINA,
NISSAN,KICKS,17900.0,PICHINCHA,2019.0,38200.0,MANUAL,HIDRAULICA,1600.0,4x2,PLOMO,GASOLINA,
MERCEDES BENZ,B200,11980.0,PICHINCHA,2008.0,154000.0,MANUAL,ELECTRONICA,2000.0,AWD,VINO,GASOLINA,
MAZDA,CX7,10800.0,PICHINCHA,2010.0,210690.0,AUTOMATICA,HIDRAULICA,2300.0,4x2,BLANCO,GASOLINA,
MAZDA,CX7,10200.0,PICHINCHA,2010.0,216699.0,AUTOMATICA,HIDRAULICA,2500.0,4x2,PLOMO,GASOLINA,
NISSAN,SENTRA 2.0 MT,11900.0,PICHINCHA,2012.0,150000.0,MANUAL,HIDRAULICA,2000.0,4x2,PLOMO,GASOLINA,
MERCEDES BENZ,C230 KOMPRESOR,19500.0,PICHINCHA,2005.0,115000.0,MANUAL,HIDRAULICA,2300.0,4x2,NEGRO,GASOLINA,
NISSAN,MAXIMA,12800.0,PICHINCHA,2003.0,64000.0,AUTOMATICA,ASISTIDA,1490.0,4x2,VINO,GASOLINA,
NISSAN,TIIDA,11000.0,PICHINCHA,2015.0,80740.0,MANUAL,HIDRAULICA,4600.0,4x2,PLOMO,GASOLINA,
PEUGEOT,PARTNER,15000.0,GUAYAS,2019.0,100000.0,MANUAL,MECANICA,1600.0,4x2,BLANCO,DIESEL,
PEUGEOT,301,12900.0,PICHINCHA,2020.0,99000.0,MANUAL,ELECTRONICA,1600.0,4x4,BLANCO,DIESEL,
MITSUBISHI,ASX,15900.0,PICHINCHA,2011.0,217840.0,AUTOMATICA,MECANICA,2000.0,4x4,PLOMO,GASOLINA,
MITSUBISHI,MONTERO SPORT,10500.0,PICHINCHA,2001.0,131000.0,AUTOMATICA,HIDRAULICA,3500.0,4x4,AZUL,GASOLINA,
MITSUBISHI,MONTERO SPORT,12400.0,PICHINCHA,2007.0,193000.0,MANUAL,ASISTIDA,3000.0,4x4,NEGRO,GASOLINA,
MITSUBISHI,ASX,14990.0,PICHINCHA,2011.0,192008.0,MANUAL,HIDRAULICA,1998.0,4x2,BLANCO,GASOLINA,
MITSUBISHI,ASX,12990.0,PICHINCHA,2013.0,199000.0,AUTOMATICA,ELECTRONICA,2600.0,4x2,MORADO,GASOLINA,
TOYOTA,YARIS,8990.0,GUAYAS,2006.0,257533.0,MANUAL,HIDRAULICA,1500.0,4x2,BLANCO,GASOLINA,
NISSAN,FRONTIER NP300,11900.0,PICHINCHA,2013.0,228239.0,MANUAL,HIDRAULICA,1400.0,4x2,BLANCO,GASOLINA,
PEUGEOT,3008,20900.0,PICHINCHA,2018.0,97000.0,AUTOMATICA,ELECTRONICA,1600.0,4x2,PLOMO,GASOLINA,
PEUGEOT,3008 ALLURE,21600.0,PICHINCHA,2018.0,70086.0,AUTOMATICA,HIDRAULICA,1600.0,4x2,CAFE,GASOLINA,
PEUGEOT,3008,21600.0,PICHINCHA,2018.0,70086.0,AUTOMATICA,HIDRAULICA,1600.0,4x2,CAFE,GASOLINA,
PEUGEOT,3008 ALLURE,21400.0,GUAYAS,2020.0,81900.0,AUTOMATICA,ASISTIDA,1600.0,4x2,PLOMO,GASOLINA,
PEUGEOT,3008,21400.0,GUAYAS,2020.0,82000.0,AUTOMATICA,ASISTIDA,1600.0,4x2,PLOMO,GASOLINA,
PEUGEOT,3008,20900.0,PICHINCHA,2019.0,80000.0,AUTOMATICA,HIDRAULICA,1600.0,AWD,ROJO,GASOLINA,
PEUGEOT,3008,20990.0,PICHINCHA,2019.0,48150.0,AUTOMATICA,ASISTIDA,1451.0,4x4,NARANJA,GASOLINA,
PEUGEOT,3008,22400.0,PICHINCHA,2019.0,63000.0,AUTOMATICA,ELECTRONICA,1600.0,4x2,NEGRO,GASOLINA,
PEUGEOT,3008,21900.0,PICHINCHA,2019.0,62000.0,AUTOMATICA,MECANICA,1600.0,4x2,NEGRO,GASOLINA,
PEUGEOT,3008 ALLURE,21900.0,MORONA SANTIAGO,2019.0,61000.0,AUTOMATICA,HIDRAULICA,1600.0,4x2,ROJO,GASOLINA,
VOLKSWAGEN,JETTA,9900.0,PICHINCHA,2011.0,224000.0,MANUAL,HIDRAULICA,2000.0,4x2,NEGRO,GASOLINA,
VOLKSWAGEN,JETTA,9900.0,PICHINCHA,2011.0,224000.0,MANUAL,HIDRAULICA,2000.0,4x2,NEGRO,GASOLINA,
VOLKSWAGEN,JETTA EUROPA 2.0,9900.0,PICHINCHA,2011.0,168600.0,MANUAL,HIDRAULICA,2000.0,4x2,NEGRO,GASOLINA,
MERCEDES BENZ,C300,22800.0,PICHINCHA,2009.0,83000.0,AUTOMATICA,HIDRAULICA,3000.0,4x2,AZUL,GASOLINA,
NISSAN,PATHFINDER,17800.0,PICHINCHA,2006.0,191300.0,AUTOMATICA,HIDRAULICA,4000.0,4x4,VERDE,GASOLINA,
NISSAN,PATHFINDER,13900.0,PICHINCHA,2007.0,218216.0,AUTOMATICA,HIDRAULICA,4000.0,4x2,PLOMO,GASOLINA,
NISSAN,PATHFINDER,12500.0,PICHINCHA,2007.0,235000.0,AUTOMATICA,MECANICA,4000.0,4x4,NEGRO,GASOLINA,
NISSAN,PATHFINDER,19900.0,PICHINCHA,2013.0,146600.0,AUTOMATICA,HIDRAULICA,3500.0,4x4,BLANCO,GASOLINA,
NISSAN,LEAF,22900.0,PICHINCHA,2022.0,42000.0,AUTOMATICA,ASISTIDA,1000.0,4x2,BLANCO,ELECTRICO,
NISSAN,ALTIMA,23600.0,PICHINCHA,2019.0,71500.0,AUTOMATICA,ELECTRONICA,2000.0,AWD,ROJO,GASOLINA,
NISSAN,XTRAIL  ADVANCE,19900.0,PICHINCHA,2019.0,115000.0,AUTOMATICA,HIDRAULICA,2500.0,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,BORA,7800.0,SANTO DOMINGO DE LOS TSACHILAS,2007.0,200000.0,7G-TRONIC,MECANICA,4500.0,4x2,CELESTE,HIBRIDO,
VOLKSWAGEN,BORA,9800.0,PICHINCHA,2008.0,133349.0,AUTOMATICA,HIDRAULICA,2500.0,4x2,BLANCO,GASOLINA,
VOLKSWAGEN,BORA,9800.0,PICHINCHA,2008.0,133349.0,AUTOMATICA,HIDRAULICA,2500.0,4x2,BLANCO,GASOLINA,
MERCEDES BENZ,C300,34000.0,PICHINCHA,2016.0,60200.0,AUTOMATICA,ASISTIDA,5500.0,4x4,CREMA,GASOLINA,
NISSAN,PATHFINDER,10400.0,PICHINCHA,2005.0,157000.0,AUTOMATICA,ASISTIDA,3500.0,4x4,PLOMO,GASOLINA,
NISSAN,PATHFINDER,27777.0,PICHINCHA,2018.0,87000.0,AUTOMATICA,HIDRAULICA,3500.0,4x4,NEGRO,GASOLINA,
NISSAN,PATHFINDER,27900.0,PICHINCHA,2018.0,109000.0,AUTOMATICA,HIDRAULICA,3500.0,4x4,BLANCO,GASOLINA,
NISSAN,PATHFINDER,29990.0,PICHINCHA,2018.0,87000.0,AUTOMATICA,ELECTRONICA,3500.0,4x4,NEGRO,GASOLINA,
NISSAN,PATHFINDER,30500.0,ESMERALDAS,2019.0,85000.0,AUTOMATICA,ELECTRONICA,3500.0,4x4,BLANCO,GASOLINA,
NISSAN,PATHFINDER,28900.0,PICHINCHA,2017.0,76000.0,AUTOMATICA,MECANICA,3500.0,4x2,NEGRO,GASOLINA,
NISSAN,PATHFINDER,26990.0,PICHINCHA,2018.0,106000.0,AUTOMATICA,ASISTIDA,3500.0,4x4,BLANCO,GASOLINA,
NISSAN,ROGUE,13800.0,MORONA SANTIAGO,2013.0,107900.0,AUTOMATICA,HIDRAULICA,3000.0,4x2,PLOMO,GASOLINA,
NISSAN,ROGUE,16990.0,PICHINCHA,2018.0,114000.0,AUTOMATICA,HIDRAULICA,2500.0,4x2,NEGRO,GASOLINA,
NISSAN,ROGUE,18990.0,PICHINCHA,2018.0,114000.0,MANUAL,ASISTIDA,2500.0,4x2,NEGRO,GASOLINA,
MERCEDES BENZ,ML 350 SPECIAL EDITION,17900.0,PICHINCHA,2005.0,170389.0,AUTOMATICA,HIDRAULICA,3800.0,AWD,CELESTE,GASOLINA,
ZOTYE,Z560,9900.0,CHIMBORAZO,2019.0,85169.0,MANUAL,HIDRAULICA,1499.0,4x2,BLANCO,GASOLINA,
MERCEDES BENZ,C200,46990.0,PICHINCHA,2020.0,41000.0,AUTOMATICA,HIDRAULICA,2000.0,4x2,PLOMO,GASOLINA,
NISSAN,XTRAIL  ADVANCE,34900.0,IMBABURA,2022.0,92500.0,AUTOMATICA,MECANICA,2500.0,4x2,BLANCO,GASOLINA,
NISSAN,PATHFINDER,39000.0,IMBABURA,2022.0,26000.0,AUTOMATICA,HIDRAULICA,3500.0,4x2,BLANCO,GASOLINA,
NISSAN,X-TRAIL EPOWER ADVANCE E-4ORCE EV,40400.0,PICHINCHA,2024.0,31000.0,AUTOMATICA,ELECTRONICA,1500.0,4x4,NEGRO,ELECTRICO,
NISSAN,PATHFINDER,36000.0,COTOPAXI,2022.0,30000.0,MULTITRONIC,HIDRAULICA,3500.0,AWD,PLOMO,HIBRIDO,
NISSAN,X-TRAIL EPOWER EXCLUSIVE E-4ORCE EV,37000.0,PICHINCHA,2023.0,18500.0,AUTOMATICA,HIDRAULICA,2500.0,AWD,PLOMO,GASOLINA,
MERCEDES BENZ,C200,46900.0,PICHINCHA,2020.0,69768.0,AUTOMATICA,ASISTIDA,2000.0,4x2,BLANCO,GASOLINA,
MERCEDES BENZ,C200 K,42500.0,PICHINCHA,2020.0,49117.0,AUTOMATICA,HIDRAULICA,2000.0,4x2,BLANCO,GASOLINA,
MERCEDES BENZ,C200 AVANTGARDE II,10900.0,PICHINCHA,2001.0,225000.0,MANUAL,HIDRAULICA,2000.0,4x2,BLANCO,GASOLINA,
NISSAN,X-TRAIL EXCLUSIVE,26900.0,PICHINCHA,2019.0,64000.0,AUTOMATICA,ELECTRONICA,2500.0,AWD,CAFE,GASOLINA,
NISSAN,X-TRAIL EXCLUSIVE,26900.0,PICHINCHA,2019.0,64000.0,AUTOMATICA,ELECTRONICA,2500.0,4x4,CAFE,GASOLINA,
NISSAN,X-TRAIL EPOWER EXCLUSIVE,31900.0,PICHINCHA,2023.0,70000.0,AUTOMATICA,HIDRAULICA,2500.0,4x4,NEGRO,GASOLINA,
NISSAN,X-TRAIL EXCLUSIVE,31900.0,PICHINCHA,2023.0,45000.0,AUTOMATICA,ELECTRONICA,2500.0,4x4,BLANCO,GASOLINA,
NISSAN,X-TRAIL EPOWER EXCLUSIVE,45800.0,PICHINCHA,2024.0,16000.0,AUTOMATICA,HIDRAULICA,1991.0,4x2,BLANCO,ELECTRICO,
NISSAN,X-TRAIL EXCLUSIVE,30900.0,PICHINCHA,2023.0,80000.0,SECUENCIAL,ASISTIDA,2500.0,4x4,ROJO,GASOLINA,
NISSAN,X-TRAIL EXCLUSIVE,30000.0,ESMERALDAS,2019.0,87000.0,AUTOMATICA,HIDRAULICA,2500.0,4x4,ROJO,GASOLINA,
MERCEDES BENZ,C200 K,11900.0,EL ORO,2004.0,230216.0,MANUAL,HIDRAULICA,2000.0,4x2,PLOMO,GASOLINA,
VOLVO,XC40 R DESIGN,37900.0,PICHINCHA,2020.0,51500.0,AUTOMATICA,ASISTIDA,2000.0,AWD,BLANCO,GASOLINA,
VOLVO,XC40 KINETIC,39500.0,MANABI,2019.0,25000.0,7G-TRONIC,MECANICA,1296.0,4x4,CELESTE,HIBRIDO,
VOLKSWAGEN,GOL,5800.0,PICHINCHA,2001.0,180000.0,MANUAL,HIDRAULICA,1800.0,4x2,BLANCO,GASOLINA,
MERCEDES BENZ,E350,30000.0,PICHINCHA,2013.0,69400.0,9G-TRONIC,ELECTRONICA,3500.0,4x2,PLOMO,GASOLINA,
MERCEDES BENZ,C200 AMG,39900.0,PICHINCHA,2019.0,55000.0,AUTOMATICA,HIDRAULICA,2000.0,4x2,BLANCO,GASOLINA,
MITSUBISHI,L200 SPORTERO,35900.0,PICHINCHA,2021.0,80000.0,AUTOMATICA,HIDRAULICA,2400.0,4x4,ROJO,DIESEL,
PEUGEOT,3008 GT-LINE,33900.0,PICHINCHA,2022.0,29500.0,AUTOMATICA,HIDRAULICA,1600.0,4x2,ROJO,GASOLINA,
PEUGEOT,3008 GT-LINE,29900.0,PICHINCHA,2021.0,86000.0,AUTOMATICA,ASISTIDA,1600.0,4x2,BLANCO,GASOLINA,
PEUGEOT,3008 GT-LINE,29900.0,PICHINCHA,2021.0,83600.0,AUTOMATICA,HIDRAULICA,1600.0,4x2,BLANCO,GASOLINA,
PEUGEOT,3008 GT-LINE,25400.0,PICHINCHA,2022.0,69000.0,TIPTRONIC,ELECTRONICA,1600.0,4x2,BLANCO,GASOLINA,
MITSUBISHI,L200 SPORTERO,26900.0,GUAYAS,2017.0,120000.0,MANUAL,HIDRAULICA,2500.0,4x4,NEGRO,DIESEL,
VOLVO,V40,29990.0,PICHINCHA,2018.0,64000.0,AUTOMATICA,HIDRAULICA,2000.0,4x2,AMARILLO,GASOLINA,
VOLVO,V40 T5 INSCRIPTION,29990.0,PICHINCHA,2018.0,64000.0,AUTOMATICA,ASISTIDA,2000.0,4x2,AMARILLO,GASOLINA,
VOLVO,XC40 T4,29900.0,PICHINCHA,2019.0,35000.0,AUTOMATICA,ASISTIDA,1968.0,4x2,BLANCO,GASOLINA,
MERCEDES BENZ,GLC 250,48500.0,PICHINCHA,2018.0,68446.0,AUTOMATICA,HIDRAULICA,2500.0,4x4,NEGRO,GASOLINA,
NISSAN,MURANO,9990.0,PICHINCHA,2004.0,152144.0,AUTOMATICA,HIDRAULICA,3500.0,AWD,NARANJA,GASOLINA,
NISSAN,MURANO,9800.0,PICHINCHA,2005.0,174758.0,AUTOMATICA,HIDRAULICA,3500.0,4x2,AZUL,GASOLINA,
MITSUBISHI,MONTERO SPORT,9700.0,PASTAZA,2003.0,350000.0,MANUAL,MECANICA,2400.0,4x4,NARANJA,GASOLINA,
PEUGEOT,5008N ALL.,18000.0,GUAYAS,2018.0,100000.0,AUTOMATICA,HIDRAULICA,1600.0,4x2,AZUL,GASOLINA,
PEUGEOT,301,9990.0,PICHINCHA,2015.0,86000.0,MANUAL,HIDRAULICA,1400.0,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,T-CROSS CONFORTLINE AC,22900.0,CHIMBORAZO,2024.0,12295.0,MANUAL,HIDRAULICA,1600.0,4x2,ROJO,GASOLINA,
VOLKSWAGEN,T-CROSS CONFORTLINE AC,22900.0,CHIMBORAZO,2024.0,12295.0,MANUAL,HIDRAULICA,1600.0,4x2,ROJO,GASOLINA,
VOLVO,V40 T5 INSCRIPTION,21470.0,PICHINCHA,2016.0,57080.0,TIPTRONIC,ELECTRONICA,2000.0,4x2,AZUL,GASOLINA,
VOLKSWAGEN,GOL CONFORTLINE,4990.0,CHIMBORAZO,2004.0,308662.0,MANUAL,HIDRAULICA,1800.0,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,AMAROK,23800.0,PICHINCHA,2018.0,98000.0,MANUAL,HIDRAULICA,2000.0,4x2,BLANCO,DIESEL,
VOLKSWAGEN,AMAROK TSI,23800.0,AZUAY,2018.0,97000.0,MANUAL,HIDRAULICA,2000.0,4x2,BLANCO,DIESEL,
PEUGEOT,207 COMPACT,8900.0,PICHINCHA,2012.0,190487.0,MANUAL,HIDRAULICA,1300.0,4x2,NEGRO,GASOLINA,
PEUGEOT,207 COMPACT,9900.0,PICHINCHA,2012.0,95000.0,MANUAL,ELECTRONICA,1400.0,4x4,PLOMO,GASOLINA,
PEUGEOT,207 COMPACT,7500.0,CARCHI,2009.0,202000.0,MANUAL,ASISTIDA,1600.0,4x2,AMARILLO,GASOLINA,
PEUGEOT,207,8990.0,PICHINCHA,2009.0,175000.0,MANUAL,MECANICA,1400.0,AWD,PLOMO,GASOLINA,
PEUGEOT,207 COMPACT,8990.0,MORONA SANTIAGO,2009.0,175000.0,ECVT,HIDRAULICA,2995.0,4x4,CELESTE,HIBRIDO,
PEUGEOT,206,7800.0,PICHINCHA,2009.0,186352.0,MANUAL,HIDRAULICA,1400.0,4x2,CREMA,GASOLINA,
VOLVO,S80,22000.0,MORONA SANTIAGO,2008.0,70000.0,AUTOMATICA,ASISTIDA,2694.0,AWD,CAFE,GASOLINA,
VOLKSWAGEN,POLO,13600.0,TUNGURAHUA,2018.0,71000.0,MANUAL,ASISTIDA,1600.0,4x2,CREMA,GASOLINA,
VOLKSWAGEN,VIRTUS,14000.0,PICHINCHA,2019.0,110000.0,MANUAL,HIDRAULICA,1600.0,4x2,BLANCO,GASOLINA,
VOLKSWAGEN,VIRTUS,16900.0,PICHINCHA,2022.0,50000.0,MANUAL,ELECTRONICA,1600.0,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,AMAROK,16990.0,PICHINCHA,2013.0,326000.0,SPEEDTRONIC,MECANICA,2776.0,4x4,VERDE,HIBRIDO,
VOLKSWAGEN,VIRTUS,16900.0,PICHINCHA,2022.0,50000.0,MANUAL,ELECTRONICA,1600.0,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,VIRTUS,16500.0,CARCHI,2022.0,51000.0,MULTITRONIC,ELECTRONICA,3497.0,4x2,NEGRO,HIBRIDO,
VOLKSWAGEN,VIRTUS,15500.0,PICHINCHA,2022.0,120000.0,MANUAL,ELECTRONICA,1600.0,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,AMAROK,13900.0,PICHINCHA,2012.0,288000.0,MANUAL,HIDRAULICA,2000.0,4x2,PLOMO,DIESEL,
VOLVO,XC90 T6,15777.0,PICHINCHA,2006.0,110600.0,AUTOMATICA,HIDRAULICA,3000.0,AWD,AZUL,GASOLINA,
VOLKSWAGEN,POLO TRENDLINE,11900.0,TUNGURAHUA,2018.0,150000.0,AUTOMATICA,HIDRAULICA,1600.0,4x2,BLANCO,GASOLINA,
VOLKSWAGEN,GOL,11000.0,PICHINCHA,2014.0,115000.0,MANUAL,HIDRAULICA,1600.0,4x2,PLOMO,GASOLINA,
VOLKSWAGEN,POLO,13800.0,CHIMBORAZO,2019.0,50000.0,MANUAL,ELECTRONICA,1600.0,4x2,PLOMO,GASOLINA,
VOLVO,C30,13900.0,PICHINCHA,2011.0,115000.0,MANUAL,MECANICA,2000.0,4x2,NEGRO,GASOLINA,
VOLVO,XC90 T6,14900.0,PICHINCHA,2004.0,156000.0,SECUENCIAL,MECANICA,2900.0,4x4,ROJO,GASOLINA,
RENAULT,SANDERO,8500.0,PICHINCHA,2015.0,132300.0,MANUAL,HIDRAULICA,1600.0,4x2,ROJO,GASOLINA,
RENAULT,LOGAN,7990.0,PICHINCHA,2012.0,192195.0,MANUAL,HIDRAULICA,1400.0,4x2,PLOMO,GASOLINA,
RENAULT,LOGAN DYNAMIQUE,7990.0,BOLIVAR,2012.0,155000.0,MULTITRONIC,MECANICA,1999.0,AWD,AMARILLO,GASOLINA,
VOLVO,C30,11800.0,PICHINCHA,2010.0,150000.0,MANUAL,HIDRAULICA,2000.0,4x2,BLANCO,GASOLINA,
VOLKSWAGEN,JETTA,11700.0,PICHINCHA,2011.0,83564.0,MANUAL,HIDRAULICA,2000.0,4x2,BLANCO,GASOLINA,
VOLKSWAGEN,JETTA EUROPA 2.0,11700.0,PICHINCHA,2011.0,83546.0,MANUAL,HIDRAULICA,2000.0,4x2,BLANCO,GASOLINA,
VOLKSWAGEN,JETTA 2500,11900.0,PICHINCHA,2014.0,108142.0,AUTOMATICA,HIDRAULICA,2500.0,4x2,PLOMO,GASOLINA,
RENAULT,CLIO,7900.0,IMBABURA,2008.0,201000.0,MANUAL,ASISTIDA,1600.0,4x2,PLOMO,GASOLINA,
